Pixel, Red, Green, Blue, Fire
318,245,207,138,0
319,243,205,136,0
320,238,204,139,0
321,233,199,134,0
322,225,196,129,0
323,222,193,126,0
324,218,185,122,0
325,218,185,122,0
326,221,191,129,0
327,216,186,124,0
328,226,193,130,0
329,227,194,131,0
330,225,190,132,0
331,225,190,132,0
332,227,188,136,0
333,227,188,136,0
334,228,187,135,0
335,225,184,132,0
336,223,182,128,0
337,221,180,126,0
338,220,183,133,0
339,217,180,130,0
340,220,185,134,0
341,218,183,132,0
342,211,183,132,0
343,210,182,131,0
344,210,186,138,0
345,216,180,136,0
346,211,175,131,0
347,209,170,132,0
348,205,166,128,0
349,205,162,132,0
350,201,158,128,0
351,201,154,127,0
352,191,155,102,0
353,213,163,108,0
354,241,191,136,0
355,252,209,138,0
356,241,204,138,0
357,234,202,136,0
358,231,199,133,0
359,225,196,129,0
360,221,192,125,0
361,219,186,123,0
362,218,185,122,0
363,217,184,123,0
364,215,182,121,0
365,215,182,123,0
366,218,185,126,0
367,213,179,123,0
368,217,183,127,0
369,217,180,132,0
370,216,179,131,0
371,218,181,131,0
372,214,177,127,0
373,217,181,126,0
374,223,187,132,0
375,217,186,129,0
376,218,187,130,0
377,220,188,136,0
378,220,188,136,0
379,215,187,138,0
380,209,175,137,0
381,206,166,135,0
382,205,165,136,0
383,203,163,134,0
384,211,164,135,0
385,198,155,104,0
386,238,192,131,0
387,249,209,139,0
388,249,209,139,0
389,246,210,139,0
390,240,206,139,0
391,238,204,137,0
392,234,202,136,0
393,231,199,133,0
394,225,196,129,0
395,222,193,126,0
396,220,190,128,0
397,217,187,125,0
398,215,184,127,0
399,214,183,126,0
400,212,183,125,0
401,213,184,126,0
402,213,181,129,0
403,214,182,130,0
404,214,182,132,0
405,214,182,132,0
406,216,181,130,0
407,217,182,131,0
408,218,184,130,0
409,220,186,132,0
410,219,190,134,0
411,220,191,135,0
412,219,191,138,0
413,219,191,138,0
414,197,151,101,0
415,211,165,115,0
416,239,195,131,0
417,250,212,139,0
418,250,212,139,0
419,242,209,139,0
420,232,203,136,0
421,229,200,133,0
422,225,196,129,0
423,223,194,127,0
424,220,190,130,0
425,217,187,127,0
426,214,185,129,0
427,213,184,128,0
428,213,184,128,0
429,213,184,128,0
430,214,182,130,0
431,215,183,131,0
432,214,182,132,0
433,215,183,133,0
434,216,184,134,0
435,217,185,135,0
436,218,187,132,0
437,221,190,135,0
438,219,191,138,0
439,220,192,139,0
440,202,157,102,0
441,220,175,120,0
442,244,206,137,0
443,237,205,139,0
444,231,202,135,0
445,228,199,132,0
446,225,195,131,0
447,223,193,129,0
448,220,191,133,0
449,217,188,130,0
450,213,185,134,0
451,212,184,133,0
452,212,184,133,0
453,212,184,133,0
454,213,185,132,0
455,213,185,132,0
456,213,185,134,0
457,215,187,136,0
458,217,189,138,0
459,218,190,139,0
460,217,192,138,0
461,191,156,107,0
462,204,166,107,0
463,230,192,133,0
464,248,212,139,0
465,234,205,138,0
466,231,201,137,0
467,228,198,134,0
468,225,195,133,0
469,224,194,132,0
470,220,191,135,0
471,219,190,134,0
472,215,185,134,0
473,214,184,133,0
474,210,185,135,0
475,210,185,135,0
476,213,185,136,0
477,214,186,137,0
478,214,186,135,0
479,217,189,138,0
480,215,190,138,0
481,200,163,113,0
482,227,193,128,0
483,230,202,139,0
484,229,201,138,0
485,226,198,135,0
486,224,196,133,0
487,219,192,136,0
488,218,191,135,0
489,213,188,136,0
490,211,186,134,0
491,210,185,135,0
492,211,186,136,0
493,211,186,136,0
494,212,187,137,0
495,213,188,136,0
496,215,190,138,0
497,191,156,109,0
498,197,160,110,0
499,220,183,133,0
500,240,209,138,0
501,231,201,139,0
502,230,200,138,0
503,226,198,137,0
504,224,196,135,0
505,221,192,136,0
506,220,191,135,0
507,215,187,136,0
508,213,185,134,0
509,213,184,138,0
510,213,184,138,0
511,211,185,138,0
512,212,186,139,0
513,212,174,115,0
514,228,200,139,0
515,226,198,137,0
516,224,196,135,0
517,220,193,137,0
518,218,191,135,0
519,217,189,138,0
520,214,186,135,0
521,211,185,138,0
522,211,185,138,0
523,211,185,138,0
524,212,186,139,0
525,204,168,115,0
526,236,195,132,0
527,245,212,138,0
528,233,200,137,0
529,233,200,139,0
530,229,199,139,0
531,227,197,137,0
532,224,195,137,0
533,222,193,135,0
534,221,191,138,0
535,220,190,137,0
536,215,190,138,0
537,213,188,136,0
538,212,187,137,0
539,212,187,137,0
540,212,186,139,0
541,201,162,108,0
542,220,181,127,0
543,234,196,125,0
544,241,203,132,0
545,230,201,134,0
546,232,202,138,0
547,228,198,134,0
548,228,198,138,0
549,227,197,137,0
550,224,195,137,0
551,222,193,135,0
552,213,188,134,0
553,216,191,137,0
554,215,190,138,0
555,215,190,138,0
556,213,188,138,0
557,213,188,138,0
558,215,173,113,0
559,221,179,119,0
560,235,197,124,0
561,230,202,137,0
562,229,199,139,0
563,227,197,137,0
564,223,193,133,0
565,221,192,136,0
566,221,192,136,0
567,217,189,138,0
568,217,189,138,0
569,213,188,138,0
570,194,159,108,0
571,224,185,121,0
572,237,198,134,0
573,234,207,139,0
574,229,201,136,0
575,228,200,135,0
576,227,199,136,0
577,226,198,135,0
578,223,195,134,0
579,219,191,130,0
580,217,190,134,0
581,218,191,135,0
582,215,190,136,0
583,215,190,136,0
584,202,168,114,0
585,230,194,123,0
586,243,207,136,0
587,232,203,136,0
588,231,201,139,0
589,230,200,138,0
590,227,197,137,0
591,224,194,134,0
592,221,190,133,0
593,217,186,129,0
594,217,187,134,0
595,217,187,134,0
596,213,185,134,0
597,215,187,136,0
598,212,186,139,0
599,220,185,125,0
600,246,213,139,0
601,228,198,138,0
602,225,195,135,0
603,221,191,131,0
604,220,189,132,0
605,218,187,130,0
606,215,188,132,0
607,215,188,132,0
608,212,187,135,0
609,213,188,136,0
610,211,173,114,0
611,228,198,138,0
612,223,194,136,0
613,220,191,133,0
614,217,190,132,0
615,215,188,130,0
616,214,186,133,0
617,215,187,134,0
618,214,186,137,0
619,215,187,138,0
620,194,159,110,0
621,234,197,133,0
622,225,194,139,0
623,221,192,136,0
624,219,190,134,0
625,217,190,134,0
626,217,190,134,0
627,215,187,136,0
628,215,187,136,0
629,213,188,138,0
630,192,153,101,0
631,214,175,123,0
632,223,191,139,0
633,221,191,138,0
634,219,189,136,0
635,217,190,134,0
636,217,190,134,0
637,213,188,136,0
638,215,190,138,0
639,212,173,119,0
640,218,190,139,0
641,218,190,139,0
642,217,189,138,0
643,215,187,136,0
644,212,187,135,0
645,213,188,136,0
646,213,188,138,0
647,215,190,138,0
648,216,191,139,0
649,192,159,114,0
650,217,181,126,0
651,217,189,138,0
652,214,186,137,0
653,213,185,136,0
654,213,185,136,0
655,214,186,137,0
656,212,187,137,0
657,201,166,119,0
658,225,186,132,0
659,221,194,138,0
660,216,191,139,0
661,215,190,138,0
662,212,187,137,0
663,211,186,136,0
664,211,185,138,0
665,212,186,139,0
666,212,187,137,0
667,215,190,138,0
668,207,175,125,0
669,219,192,134,0
670,215,190,138,0
671,212,187,135,0
672,211,186,136,0
673,211,186,136,0
674,210,184,137,0
675,211,185,138,0
676,210,187,136,0
677,212,189,138,0
678,222,188,134,0
679,224,197,139,0
680,221,194,136,0
681,219,192,136,0
682,215,188,132,0
683,210,185,133,0
684,208,183,131,0
685,210,185,133,0
686,211,186,134,0
687,210,186,138,0
688,210,190,138,0
689,219,192,136,0
690,218,191,135,0
691,215,188,132,0
692,213,186,130,0
693,212,184,133,0
694,208,180,129,0
695,210,185,133,0
696,211,186,134,0
697,210,186,138,0
698,213,185,132,0
699,212,184,131,0
700,213,185,132,0
701,211,183,130,0
702,209,185,128,0
703,209,185,128,0
