Pixel, Red, Green, Blue, Fire
778,203,131,83,0
779,200,127,82,0
780,201,128,83,0
781,202,129,86,0
782,199,126,83,0
783,195,122,81,0
784,194,123,81,0
785,192,120,80,0
786,198,126,88,0
787,200,126,87,0
788,204,129,90,0
789,210,132,93,0
790,214,135,96,0
791,220,139,96,0
792,224,141,99,0
793,226,142,96,0
794,230,146,100,0
795,236,150,101,0
796,238,152,103,0
797,241,155,104,0
798,249,159,107,0
799,252,162,110,0
800,255,164,113,0
801,255,168,117,0
802,255,172,121,0
803,255,173,121,0
804,255,176,124,0
805,255,181,125,0
806,255,185,126,0
807,255,186,124,0
808,255,186,125,0
809,255,186,124,0
810,255,180,121,0
811,255,181,121,0
812,255,181,124,0
813,255,182,125,0
814,255,183,126,0
815,255,183,126,0
816,255,183,124,0
817,255,182,123,0
818,255,193,136,0
819,255,195,138,0
820,255,194,137,0
821,255,189,133,0
822,255,186,130,0
823,255,185,129,0
824,255,184,128,0
825,255,183,125,0
826,255,182,124,0
827,255,182,125,0
828,255,181,124,0
829,255,180,124,0
830,255,179,123,0
831,254,177,121,0
832,252,175,119,0
833,250,173,117,0
834,248,173,118,0
835,244,169,114,0
836,242,167,112,0
837,238,163,108,0
838,232,159,106,0
839,227,154,101,0
840,221,148,95,0
841,215,142,89,0
842,211,138,85,0
843,211,138,87,0
844,210,136,87,0
845,206,134,84,0
846,204,132,84,0
847,205,133,85,0
848,205,132,87,0
849,202,129,84,0
850,199,126,83,0
851,198,125,84,0
852,196,122,83,0
853,193,121,83,0
854,191,119,81,0
855,199,125,88,0
856,201,126,87,0
857,206,128,90,0
858,211,132,93,0
859,218,136,96,0
860,223,140,98,0
861,228,144,100,0
862,232,145,100,0
863,237,151,104,0
864,241,155,106,0
865,244,156,106,0
866,247,159,109,0
867,253,163,111,0
868,255,166,114,0
869,255,167,116,0
870,255,171,120,0
871,255,176,123,0
872,255,176,121,0
873,255,179,123,0
874,255,184,125,0
875,255,190,130,0
876,255,195,132,0
877,255,197,135,0
878,255,198,135,0
879,255,197,136,0
880,255,196,135,0
881,255,196,135,0
882,255,197,136,0
883,255,197,139,0
884,255,198,139,0
885,255,197,137,0
886,255,196,136,0
887,255,196,137,0
888,255,192,134,0
889,255,188,130,0
890,255,187,130,0
891,255,188,131,0
892,255,189,132,0
893,255,188,130,0
894,255,186,128,0
895,255,187,129,0
896,255,186,128,0
897,255,185,127,0
898,255,183,125,0
899,255,181,124,0
900,255,180,123,0
901,253,178,121,0
902,252,177,120,0
903,251,176,119,0
904,246,171,114,0
905,238,166,108,0
906,234,162,104,0
907,231,159,101,0
908,227,155,97,0
909,220,148,90,0
910,215,142,87,0
911,215,142,89,0
912,213,140,87,0
913,209,138,86,0
914,208,136,86,0
915,208,136,86,0
916,207,135,87,0
917,205,133,85,0
918,202,129,84,0
919,200,127,84,0
920,198,125,84,0
921,195,123,83,0
922,193,121,83,0
923,191,118,83,0
924,191,121,87,0
925,199,123,87,0
926,203,123,86,0
927,208,126,88,0
928,214,130,93,0
929,220,135,96,0
930,228,140,100,0
931,233,144,102,0
932,236,147,103,0
933,241,153,107,0
934,245,157,109,0
935,249,159,109,0
936,252,162,112,0
937,255,167,115,0
938,255,169,117,0
939,255,172,120,0
940,255,176,123,0
941,255,181,125,0
942,255,182,123,0
943,255,185,125,0
944,255,189,129,0
945,255,196,134,0
946,255,200,137,0
947,255,199,137,0
948,255,196,135,0
949,255,195,134,0
950,255,195,134,0
951,255,195,134,0
952,255,196,135,0
953,255,194,134,0
954,255,192,133,0
955,255,195,136,0
956,255,193,133,0
957,255,193,133,0
958,255,190,131,0
959,255,188,129,0
960,255,186,127,0
961,255,184,125,0
962,255,183,124,0
963,255,183,124,0
964,255,184,125,0
965,248,176,117,0
966,239,167,108,0
967,235,163,104,0
968,236,161,103,0
969,233,158,100,0
970,227,153,92,0
971,221,146,88,0
972,220,148,90,0
973,217,144,89,0
974,214,141,88,0
975,213,140,87,0
976,213,140,89,0
977,212,138,89,0
978,208,136,88,0
979,206,133,88,0
980,202,129,86,0
981,200,127,86,0
982,198,124,85,0
983,196,122,83,0
984,194,120,83,0
985,192,118,81,0
986,194,121,88,0
987,201,123,87,0
988,205,123,86,0
989,209,125,88,0
990,215,130,91,0
991,223,135,95,0
992,231,142,100,0
993,238,147,103,0
994,241,150,105,0
995,247,155,108,0
996,250,160,110,0
997,252,162,112,0
998,255,165,115,0
999,255,170,118,0
1000,255,173,121,0
1001,255,175,123,0
1002,255,180,127,0
1003,255,183,126,0
1004,255,186,126,0
1005,255,189,129,0
1006,255,195,134,0
1007,255,200,138,0
1008,255,199,138,0
1009,255,196,135,0
1010,255,200,139,0
1011,255,198,137,0
1012,255,195,134,0
1013,255,194,133,0
1014,255,192,131,0
1015,255,191,130,0
1016,255,190,130,0
1017,255,189,129,0
1018,253,182,120,0
1019,244,173,111,0
1020,238,167,103,0
1021,239,165,102,0
1022,236,162,99,0
1023,232,158,95,0
1024,227,153,90,0
1025,225,153,94,0
1026,221,149,91,0
1027,219,146,91,0
1028,218,145,90,0
1029,218,145,92,0
1030,216,143,92,0
1031,212,140,90,0
1032,210,138,90,0
1033,204,131,86,0
1034,202,129,86,0
1035,200,127,86,0
1036,198,124,85,0
1037,196,122,85,0
1038,194,120,83,0
1039,192,118,83,0
1040,192,123,90,0
1041,196,123,90,0
1042,201,123,87,0
1043,206,124,87,0
1044,210,126,89,0
1045,216,131,92,0
1046,226,137,97,0
1047,235,143,102,0
1048,242,149,106,0
1049,246,153,109,0
1050,251,156,110,0
1051,253,161,112,0
1052,255,164,115,0
1053,255,167,116,0
1054,255,173,122,0
1055,255,176,125,0
1056,255,179,128,0
1057,255,184,131,0
1058,255,185,128,0
1059,255,189,129,0
1060,255,194,136,0
1061,255,199,138,0
1062,255,197,135,0
1063,255,195,134,0
1064,255,195,134,0
1065,255,194,133,0
1066,255,191,129,0
1067,255,188,126,0
1068,253,182,118,0
1069,248,174,109,0
1070,244,169,104,0
1071,239,164,99,0
1072,237,162,97,0
1073,236,161,96,0
1074,230,156,95,0
1075,224,152,93,0
1076,221,149,91,0
1077,221,148,93,0
1078,221,148,93,0
1079,218,145,92,0
1080,215,141,92,0
1081,214,140,93,0
1082,208,134,89,0
1083,206,131,89,0
1084,202,129,88,0
1085,200,126,87,0
1086,199,125,88,0
1087,197,123,88,0
1088,195,120,88,0
1089,193,118,86,0
1090,193,122,90,0
1091,197,122,90,0
1092,202,124,88,0
1093,207,125,87,0
1094,211,128,88,0
1095,220,132,92,0
1096,228,139,97,0
1097,238,145,102,0
1098,246,151,107,0
1099,250,155,109,0
1100,254,158,110,0
1101,255,162,114,0
1102,255,166,115,0
1103,255,169,118,0
1104,255,175,124,0
1105,255,178,127,0
1106,255,181,130,0
1107,255,187,134,0
1108,255,192,135,0
1109,255,196,136,0
1110,255,202,139,0
1111,255,201,139,0
1112,255,201,137,0
1113,255,192,129,0
1114,255,193,128,0
1115,255,189,123,0
1116,255,181,116,0
1117,247,172,105,0
1118,241,166,99,0
1119,242,164,98,0
1120,241,166,101,0
1121,230,156,95,0
1122,224,152,93,0
1123,221,149,91,0
1124,221,149,91,0
1125,221,148,93,0
1126,218,145,92,0
1127,215,142,91,0
1128,214,140,93,0
1129,210,136,91,0
1130,208,133,91,0
1131,204,131,90,0
1132,202,128,89,0
1133,201,127,92,0
1134,199,125,90,0
1135,197,122,90,0
1136,195,120,88,0
1137,191,116,85,0
1138,192,121,89,0
1139,197,123,88,0
1140,203,125,87,0
1141,209,127,89,0
1142,215,132,92,0
1143,223,135,95,0
1144,231,139,98,0
1145,237,144,101,0
1146,245,148,105,0
1147,249,152,107,0
1148,255,160,113,0
1149,255,163,113,0
1150,255,166,116,0
1151,255,171,120,0
1152,255,175,124,0
1153,255,179,128,0
1154,255,183,132,0
1155,255,188,135,0
1156,255,193,135,0
1157,255,198,139,0
1158,255,202,135,0
1159,255,198,132,0
1160,255,195,127,0
1161,255,189,123,0
1162,255,184,119,0
1163,254,179,114,0
1164,249,171,107,0
1165,242,162,99,0
1166,235,157,95,0
1167,236,160,100,0
1168,230,155,97,0
1169,228,153,96,0
1170,228,153,96,0
1171,226,151,96,0
1172,221,145,93,0
1173,215,142,91,0
1174,215,141,94,0
1175,213,139,94,0
1176,211,136,94,0
1177,208,133,93,0
1178,205,130,91,0
1179,203,127,93,0
1180,201,125,91,0
1181,198,122,90,0
1182,196,120,88,0
1183,196,119,89,0
1184,193,116,86,0
1185,195,122,89,0
1186,198,124,89,0
1187,204,126,88,0
1188,211,129,91,0
1189,217,134,94,0
1190,225,137,97,0
1191,233,141,100,0
1192,241,146,102,0
1193,248,150,105,0
1194,251,153,106,0
1195,255,160,111,0
1196,255,162,113,0
