RedMean,GreenMean,BlueMean,RedVariance,GreenVariance,BlueVariance,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Fire
199.667,129,124.81,5.91876,6.86953,7.32978,1.35592,0.42926,0.0431546,0.482329,-0.0560918,0.258658,-0.0411833,0
196.571,138.571,135.714,1.29363,5.42105,4.36592,0.231942,0.0260176,8.56322e-005,3.49272e-005,1.89925e-009,5.60543e-006,-2.03594e-010,0
207.351,118.492,103.993,11.6991,13.094,18.9008,0,0,0,0,0,0,0,0
196.836,128.372,125.288,3.64356,11.0685,10.4081,5.09375,20.7362,127.137,113.634,13658.4,515.981,-13.3361,0
203.981,132.54,47.33,7.77087,19.2566,41.2881,0.231215,0.0234168,1.49841e-006,2.51487e-005,-1.54379e-010,3.84839e-006,1.46289e-015,0
206.429,133.185,48.4499,8.15102,20.5562,40.9309,0.304527,0.0630155,0.00230846,0.000215436,-1.51928e-007,-5.40805e-005,1.70683e-012,0
192.234,129.193,110.152,1.36217,24.3176,14.0436,0.164008,7.0672e-006,0.000265647,2.84236e-006,-7.81038e-011,-7.55619e-009,-7.27938e-015,0
213.931,147.887,129.182,12.2704,20.926,8.54727,0,0,0,0,0,0,0,0
223.781,116.86,79.2975,16.5857,11.4431,18.2475,0.30637,0.0311134,0.0472607,0.0259976,0.00090726,0.0042535,-8.54522e-005,0
210.523,117.751,98.07,11.3088,16.635,15.2601,0,0,0,0,0,0,0,0
193.107,130.636,126.24,3.70794,11.6335,11.1533,0.180556,0.00482253,0,0,0,0,0,0
192,184.178,136.367,1.0435,3.20963,2.415,0,0,0,0,0,0,0,0
203.891,124.082,103.62,6.95752,16.1764,12.9332,0.222222,0.0123457,0.00548584,0.000219444,-2.40773e-007,-2.43827e-005,-9.80166e-011,0
194.057,108.784,100.091,2.39012,11.2194,14.5693,1.55956,0.568814,2.73705,0.79968,0.543175,0.303406,-1.05102,0
191.953,142.359,133.035,1.65159,4.65514,4.685,0.164444,0.000597531,0,0,0,0,0,0
195.996,153.201,94.4238,4.11204,7.51987,13.4819,0.534979,0.212586,0.0134929,0.0141545,0.000193832,0.00650402,2.63215e-005,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
193.951,139.587,136.659,2.59588,3.34417,2.13775,0.176503,0.00191615,0.00122513,1.8193e-005,2.01866e-009,4.26252e-007,-1.81721e-009,0
193.28,158.05,98.3159,2.05227,17.4479,13.1707,0.17266,0.00124958,0.00045474,3.69566e-006,7.57783e-011,8.1926e-008,1.31189e-010,0
197.618,138.806,88.8112,5.21825,16.2914,13.7231,0,0,0,0,0,0,0,0
215.545,159.734,119.208,14.8318,23.0229,16.4159,0,0,0,0,0,0,0,0
193.179,150.859,132.003,2.20229,9.21074,5.27467,0,0,0,0,0,0,0,0
195.266,134.006,85.7766,3.35309,8.43094,14.8231,0.555556,0.197531,0.00857328,0.00165987,-6.2616e-006,-0.000737721,-4.86024e-010,0
191.706,143.683,136.905,0.918462,6.19164,2.1831,0.193342,0.00944983,0.000495639,3.85352e-005,4.42159e-009,3.22153e-006,-2.96846e-009,0
192.947,167.913,121.51,2.23792,7.42947,10.9452,0.166135,0.000382696,0.0001437,7.3071e-007,7.48767e-012,-1.42946e-008,1.43275e-015,0
193.719,138.751,133.871,2.85469,6.64597,5.07192,0,0,0,0,0,0,0,0
197.027,126.673,116.73,4.876,11.69,12.95,1.20576,0.552016,0.896757,0.293757,0.146472,0.216891,-0.0357528,0
191.279,143.965,138.465,0.473757,2.69128,0.802578,0.249406,0.00471967,0.00820852,0.00338171,1.13419e-005,0.000173471,1.37408e-005,0
194.239,123.266,109.681,3.10827,12.1248,11.7656,0,0,0,0,0,0,0,0
205.236,129.909,123.672,13.4299,15.8749,12.5467,0.235597,0.0252822,0.000381606,1.91489e-005,-1.13004e-009,-2.87082e-006,1.18425e-009,0
198.434,121.591,82.6833,6.00746,20.1372,18.7035,0,0,0,0,0,0,0,0
192.8,138.4,133.6,1.97315,8.8,3.07246,0.347276,0.0885833,0.000185503,2.09902e-005,4.33563e-010,2.17654e-006,1.23595e-009,0
199.729,136.614,109.815,5.42214,22.4306,12.1275,0.162039,0.000352544,6.77462e-005,3.79962e-008,6.089e-014,1.12884e-010,-2.94533e-015,0
197.841,148.321,95.9659,5.14032,31.2633,19.1945,0.184483,0.00407248,0.00149511,1.73999e-005,-2.80645e-009,-1.11039e-006,-1.55104e-014,0
193.558,144.635,99.7541,2.7318,17.6345,22.3519,1.43111,1.01435,3.76356,2.01348,5.28074,1.70835,1.68383,0
200.573,125.233,108.864,6.15297,15.0124,16.3306,0.391521,0.0991911,0.00479056,0.00449414,2.08171e-005,0.00140939,-1.21873e-006,0
209.701,123.173,115.898,9.36133,13.4689,11.2994,0.631111,0.263605,0.0635695,0.0117192,6.8337e-005,-0.000851746,0.000312482,0
205.31,149.126,110.779,12.4844,17.1712,17.9045,0,0,0,0,0,0,0,0
206.139,168.98,77.7934,8.43164,9.99997,23.0958,0,0,0,0,0,0,0,0
191.818,125.636,123.545,0.935966,2.60324,2.27091,0.189684,0.00735875,0.0010006,6.00141e-005,7.22076e-009,1.36136e-006,-1.28118e-008,0
210.487,117.832,108.133,10.8902,11.9578,18.3177,0,0,0,0,0,0,0,0
205.074,121.754,100.82,7.25653,12.0478,20.1023,0.17266,0.00124958,0.000454751,3.6954e-006,7.57634e-011,8.19171e-008,-1.31181e-010,0
244.396,145.33,98.1107,15.5114,20.2764,20.6736,0.16723,0.000237747,5.66287e-005,9.54485e-007,-5.87284e-012,-1.15577e-008,3.84093e-012,0
195.005,122.029,119.344,3.99733,13.5808,13.1833,0.166667,0,0,0,0,0,0,0
196.231,123.538,119.856,4.29248,12.4528,11.5947,1.47222,1.85262,0.0309508,0.00469468,-5.65908e-005,-0.00638999,-1.11148e-009,0
210.283,152.613,119.844,14.478,23.4868,12.7749,0.555556,0.197531,0.0085735,0.0016597,-6.26069e-006,-0.000737643,3.85808e-010,0
192.75,104.833,67.0833,1.63936,3.18416,4.55445,0.231215,0.0234168,1.49816e-006,2.51486e-005,-1.54365e-010,3.84837e-006,2.35577e-015,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
192.627,151.941,124.49,1.70306,14.4357,12.3039,0.180556,0.00482253,0,0,0,0,0,0
192.134,122.52,114.049,1.27966,4.82961,3.6708,0.180556,0.00482253,0,0,0,0,0,0
