RedMean,GreenMean,BlueMean,RedVariance,GreenVariance,BlueVariance,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Fire
206.659,132.145,62.6718,14.1115,18.4758,32.8251,0.17266,0.00124958,0.000454742,3.69568e-006,7.57634e-011,8.19185e-008,1.312e-010,0
205.957,139.32,63.8973,13.25,19.4941,40.7136,0.190701,0.00205153,0.00164821,2.62522e-005,-2.53845e-010,-8.74286e-008,-5.45489e-009,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
224.687,129.426,105.716,16.575,12.1142,14.8923,0.650093,0.391765,0.0110531,0.00842688,8.12685e-005,0.00507102,-3.11937e-006,0
211.014,119.244,96.7081,13.8048,15.2533,19.0814,1.76096,0.945528,0.0989012,0.0100702,0.000119601,0.00974405,0.000294439,0
203.079,163.546,103.746,6.01159,6.6785,9.04632,0.403292,0.0597639,0.0334489,0.00683694,0.000101967,0.00166272,-1.71003e-005,0
214.051,176.193,117.835,11.2748,10.7021,12.6251,0.173463,0.000318103,0.000240896,6.18643e-006,2.23268e-010,-1.06347e-007,-8.47782e-011,0
199.378,160.877,106.856,5.51922,7.64777,13.5575,0.55144,0.218276,0.0262534,0.0131614,0.00023443,0.00404764,6.99716e-005,0
207.085,168.684,110.674,10.0134,11.1872,12.5417,0.222222,0.0123457,0.00548697,0.000219478,-2.40853e-007,-2.43864e-005,-6.18514e-013,0
209.657,171.727,121.46,11.6789,11.2387,10.5843,0,0,0,0,0,0,0,0
204.304,169.934,125.829,10.1125,10.9929,9.07895,0,0,0,0,0,0,0,0
195.953,163.821,117.622,4.96279,8.79131,13.2587,0.166135,0.000382696,0.000143699,7.30788e-007,7.48883e-012,-1.42961e-008,6.16466e-018,0
195.625,157.458,130.646,3.84396,14.3032,5.06001,1.53331,0.465228,0.645127,0.421151,0.202652,0.284108,-0.0843937,0
199.226,153.834,124.025,5.9351,7.32296,14.7623,0.170465,0.00222462,0.000228947,9.06944e-006,-4.13274e-010,-4.27768e-007,-2.9709e-016,0
198,131.75,130.25,2.73861,4.43706,4.54835,0.180556,0.00482253,0,0,0,0,0,0
198.848,147.34,114.304,6.81165,9.30295,10.9356,1.11111,0.621246,1.93528,1.28518,2.02663,1.00907,-0.0279974,0
212.932,149.695,107.554,14.83,39.3792,18.3411,0,0,0,0,0,0,0,0
230.82,211.249,94.0816,21.9233,31.7816,25.0797,0.264189,0.0421452,0.00116768,0.000430733,3.03197e-007,8.5905e-005,-3.72199e-008,0
196.827,185.406,108.122,4.11518,10.2436,12.1945,0,0,0,0,0,0,0,0
197.14,185.395,110.12,4.17857,10.2839,12.0605,0,0,0,0,0,0,0,0
197.14,185.395,110.12,4.17857,10.2839,12.0605,0,0,0,0,0,0,0,0
196.28,186.275,109.286,3.97845,9.31508,11.5099,0.171936,0.00295948,0.000248998,2.84535e-006,-7.5736e-011,-1.5479e-007,5.42007e-017,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
208.576,162.897,127.09,10.3489,9.94989,9.38059,0.752391,0.521511,0.0192212,0.0029822,-1.24664e-007,-0.00066951,-2.25781e-005,0
202.467,118.608,117.225,11.8995,11.6019,11.4014,0.555556,0.197531,0.00857339,0.00165981,-6.26128e-006,-0.000737693,3.16892e-012,0
196.815,186.199,106.872,4.13618,9.82058,12.7661,0.594239,0.00702842,0.00769406,2.65951e-005,-5.62953e-010,9.14762e-007,-1.20172e-008,0
196.815,186.199,106.872,4.13618,9.82058,12.7661,0.594239,0.00702842,0.00769406,2.65951e-005,-5.62953e-010,9.14762e-007,-1.20172e-008,0
197.235,185.98,106.278,4.71871,11.624,12.9532,0.184483,0.00407248,0.00149511,1.74e-005,-2.80647e-009,-1.1104e-006,-8.5276e-016,0
209.4,156.27,115.198,13.1881,31.3954,15.202,0.166135,0.000382696,0.000143699,7.30789e-007,7.48885e-012,-1.42961e-008,-2.1685e-018,0
198.832,185.043,105.991,5.32913,13.94,13.2195,0.208972,0.00879624,0.000665871,0.000118216,-5.58366e-009,-3.79364e-006,3.26938e-008,0
